"No.","Time","Source","Destination","Protocol","Length","Info"
"18","0.230370000","24.6.173.220","208.93.137.180","TCP","66","10620 > 80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"19","0.230395000","24.6.173.220","75.75.75.75","DNS","95","Standard query 0x86c3  A digitaldoor.subscriberconcierge.com"
"20","0.243244000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"21","0.245418000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"22","0.245423000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"23","0.245425000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"24","0.247747000","24.6.173.220","208.93.137.180","TCP","54","10615 > 80 [ACK] Seq=496 Ack=8761 Win=65700 Len=0"
"25","0.248535000","208.93.137.180","24.6.173.220","TCP","66","80 > 10616 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"26","0.248536000","208.93.137.180","24.6.173.220","TCP","66","80 > 10617 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"27","0.248538000","208.93.137.180","24.6.173.220","TCP","66","80 > 10618 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"28","0.248540000","75.75.75.75","24.6.173.220","DNS","111","Standard query response 0x86c3  A 66.109.241.50"
"29","0.248541000","75.75.75.75","24.6.173.220","DNS","134","Standard query response 0xbb19  CNAME orig-10050.hearst.cotcdn.net A 208.93.137.180"
"30","0.248727000","24.6.173.220","208.93.137.180","TCP","54","10616 > 80 [ACK] Seq=1 Ack=1 Win=65700 Len=0"
"31","0.248773000","24.6.173.220","208.93.137.180","TCP","54","10617 > 80 [ACK] Seq=1 Ack=1 Win=65700 Len=0"
"32","0.248798000","24.6.173.220","208.93.137.180","TCP","54","10618 > 80 [ACK] Seq=1 Ack=1 Win=65700 Len=0"
"33","0.249392000","24.6.173.220","208.93.137.180","HTTP","383","GET /external/css/global.shared.2.8.4p3.19000.css HTTP/1.1 "
"34","0.249817000","24.6.173.220","208.93.137.180","HTTP","381","GET /external/css/global.site.2.8.4p3.19000.css HTTP/1.1 "
"35","0.249818000","24.6.173.220","75.75.75.75","DNS","76","Standard query 0xd557  AAAA aps.hearstnp.com"
"36","0.249841000","24.6.173.220","75.75.75.75","DNS","95","Standard query 0xe6fc  AAAA digitaldoor.subscriberconcierge.com"
"37","0.250116000","24.6.173.220","208.93.137.180","HTTP","366","GET /external/js/global.header.2.8.4p3.19000.js HTTP/1.1 "
"38","0.251332000","208.93.137.180","24.6.173.220","TCP","66","80 > 10619 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"39","0.251334000","208.93.137.180","24.6.173.220","TCP","60","80 > 10620 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460"
"40","0.251444000","24.6.173.220","208.93.137.180","TCP","54","10619 > 80 [ACK] Seq=1 Ack=1 Win=65700 Len=0"
"41","0.251473000","24.6.173.220","208.93.137.180","TCP","54","10620 > 80 [ACK] Seq=1 Ack=1 Win=256960 Len=0"
"42","0.251759000","24.6.173.220","208.93.137.180","HTTP","370","GET /css/pages/sections/feedback.css HTTP/1.1 "
"43","0.252170000","24.6.173.220","208.93.137.180","HTTP","363","GET /external/js/global.top.2.8.4p3.19000.js HTTP/1.1 "
"44","0.267873000","208.93.137.180","24.6.173.220","TCP","60","80 > 10616 [ACK] Seq=1 Ack=330 Win=6912 Len=0"
"45","0.268632000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"46","0.269652000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"47","0.269655000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"48","0.269657000","208.93.137.180","24.6.173.220","TCP","60","80 > 10617 [ACK] Seq=1 Ack=328 Win=6912 Len=0"
"49","0.269662000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"50","0.270234000","24.6.173.220","208.93.137.180","TCP","54","10616 > 80 [ACK] Seq=330 Ack=4381 Win=65700 Len=0"
"51","0.270997000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"52","0.271000000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"53","0.271369000","24.6.173.220","208.93.137.180","TCP","54","10617 > 80 [ACK] Seq=328 Ack=4381 Win=65700 Len=0"
"54","0.272172000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"55","0.272174000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"56","0.272178000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"57","0.272864000","24.6.173.220","208.93.137.180","TCP","54","10617 > 80 [ACK] Seq=328 Ack=8761 Win=65700 Len=0"
"58","0.273613000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"59","0.273615000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"60","0.273622000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"61","0.274192000","24.6.173.220","208.93.137.180","TCP","54","10617 > 80 [ACK] Seq=328 Ack=13141 Win=65700 Len=0"
"62","0.274940000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"63","0.274942000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"64","0.274945000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"65","0.274950000","208.93.137.180","24.6.173.220","HTTP","472","HTTP/1.1 200 OK  (text/css)"
"66","0.274955000","75.75.75.75","24.6.173.220","DNS","150","Standard query response 0xe6fc "
"67","0.275594000","24.6.173.220","208.93.137.180","TCP","54","10617 > 80 [ACK] Seq=328 Ack=17939 Win=65700 Len=0"
"68","0.275990000","24.6.173.220","208.93.137.180","HTTP","354","GET /js/omniture/analyticsconfig.js HTTP/1.1 "
"69","0.276325000","24.6.173.220","66.109.241.50","TCP","66","10621 > 80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"70","0.276463000","208.93.137.180","24.6.173.220","TCP","60","80 > 10618 [ACK] Seq=1 Ack=313 Win=6912 Len=0"
"71","0.276478000","208.93.137.180","24.6.173.220","TCP","60","80 > 10619 [ACK] Seq=1 Ack=317 Win=6912 Len=0"
"72","0.276479000","208.93.137.180","24.6.173.220","TCP","60","80 > 10620 [ACK] Seq=1 Ack=310 Win=6432 Len=0"
"73","0.276480000","208.93.137.180","24.6.173.220","HTTP","478","HTTP/1.1 200 OK  (application/x-javascript) (application/x-javascript)"
"74","0.276482000","208.93.137.180","24.6.173.220","HTTP","1195","HTTP/1.1 200 OK  (text/css)"
"75","0.276483000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"76","0.276638000","24.6.173.220","66.109.241.50","TCP","66","10622 > 80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"77","0.277345000","24.6.173.220","66.109.241.50","TCP","66","10623 > 80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"78","0.277873000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"79","0.277876000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"80","0.277879000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"81","0.277884000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"82","0.278011000","24.6.173.220","66.109.241.50","TCP","66","10624 > 80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"83","0.278273000","24.6.173.220","208.93.137.180","HTTP","349","GET /js/hdn/omniture/s_code.js HTTP/1.1 "
"84","0.278562000","24.6.173.220","208.93.137.180","HTTP","355","GET /js/hdn/omniture/analyticswcm.js HTTP/1.1 "
"85","0.279293000","24.6.173.220","208.93.137.180","TCP","54","10618 > 80 [ACK] Seq=313 Ack=7301 Win=65700 Len=0"
"86","0.280050000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"87","0.280053000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"88","0.280057000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"89","0.280060000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"90","0.281497000","24.6.173.220","208.93.137.180","TCP","54","10618 > 80 [ACK] Seq=313 Ack=13141 Win=65700 Len=0"
"91","0.282254000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"92","0.282257000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"93","0.282262000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"94","0.282266000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"95","0.282268000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"96","0.284262000","24.6.173.220","208.93.137.180","TCP","54","10618 > 80 [ACK] Seq=313 Ack=20441 Win=65700 Len=0"
"97","0.285017000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"98","0.285020000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"99","0.285024000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"100","0.285027000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"101","0.285029000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"102","0.285032000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"103","0.287745000","24.6.173.220","208.93.137.180","TCP","54","10618 > 80 [ACK] Seq=313 Ack=29201 Win=65700 Len=0"
"104","0.288513000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"105","0.288515000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"106","0.288517000","75.75.75.75","24.6.173.220","DNS","177","Standard query response 0xd557  CNAME orig-10050.hearst.cotcdn.net"
"107","0.288522000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"108","0.288537000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"109","0.288539000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"110","0.288545000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"111","0.289717000","24.6.173.220","208.93.137.180","TCP","54","10618 > 80 [ACK] Seq=313 Ack=32121 Win=65700 Len=0"
"112","0.290641000","24.6.173.220","208.93.137.180","TCP","54","10616 > 80 [ACK] Seq=330 Ack=10221 Win=65700 Len=0"
"113","0.291040000","24.6.173.220","208.93.137.180","TCP","66","10625 > 80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"114","0.291317000","24.6.173.220","208.93.137.180","TCP","66","10626 > 80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"115","0.291397000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"116","0.291399000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"117","0.291402000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"118","0.291408000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"119","0.291410000","208.93.137.180","24.6.173.220","HTTP","891","HTTP/1.1 200 OK  (text/html)"
"120","0.294617000","24.6.173.220","75.75.75.75","DNS","73","Standard query 0xf961  A ww3.hdnux.com"
"121","0.294864000","24.6.173.220","75.75.75.75","DNS","73","Standard query 0x0273  A ww1.hdnux.com"
"122","0.295007000","24.6.173.220","75.75.75.75","DNS","73","Standard query 0x7393  A ww2.hdnux.com"
"123","0.295086000","24.6.173.220","208.93.137.180","TCP","54","10615 > 80 [ACK] Seq=496 Ack=15438 Win=65700 Len=0"
"124","0.295795000","24.6.173.220","208.93.137.180","HTTP","344","GET /js/hdn/ysmwrapper.js HTTP/1.1 "
"125","0.297128000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"126","0.298611000","208.93.137.180","24.6.173.220","HTTP","392","HTTP/1.1 200 OK  (application/x-javascript)"
"127","0.298613000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"128","0.298616000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"129","0.298618000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"130","0.298621000","208.93.137.180","24.6.173.220","HTTP","925","HTTP/1.1 200 OK  (application/x-javascript)"
"131","0.298977000","24.6.173.220","75.75.75.75","DNS","88","Standard query 0xcf9a  A us2widget.nimblecommerce.com"
"132","0.299642000","24.6.173.220","75.75.75.75","DNS","88","Standard query 0xfe93  A analytics.apnewsregistry.com"
"133","0.299935000","24.6.173.220","75.75.75.75","DNS","75","Standard query 0x6505  A imgs.sfgate.com"
"134","0.300282000","24.6.173.220","208.93.137.180","TCP","54","10618 > 80 [ACK] Seq=313 Ack=33919 Win=65700 Len=0"
"135","0.300310000","24.6.173.220","208.93.137.180","TCP","54","10619 > 80 [ACK] Seq=618 Ack=5522 Win=65700 Len=0"
"136","0.301020000","24.6.173.220","208.93.137.180","HTTP","366","GET /external/js/global.bottom.2.8.4p3.19000.js HTTP/1.1 "
"137","0.301066000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"138","0.301068000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"139","0.301071000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"140","0.301073000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"141","0.301075000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"142","0.302561000","24.6.173.220","208.93.137.180","TCP","54","10620 > 80 [ACK] Seq=605 Ack=6265 Win=256960 Len=0"
"143","0.303043000","24.6.173.220","208.93.137.180","HTTP","395","GET /img/modules/siteheader/chron_we_promo.gif HTTP/1.1 "
"144","0.303365000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"145","0.303367000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"146","0.303370000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"147","0.303372000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"148","0.303374000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"149","0.304922000","24.6.173.220","208.93.137.180","TCP","54","10620 > 80 [ACK] Seq=605 Ack=13565 Win=256960 Len=0"
"150","0.305737000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"151","0.305740000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"152","0.305743000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"153","0.305745000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"154","0.305747000","208.93.137.180","24.6.173.220","HTTP","269","HTTP/1.1 200 OK  (application/x-javascript)"
"155","0.307071000","24.6.173.220","208.93.137.180","TCP","54","10620 > 80 [ACK] Seq=605 Ack=19620 Win=256960 Len=0"
"156","0.307355000","24.6.173.220","208.93.137.180","HTTP","386","GET /img/modules/siteheader/brand.png HTTP/1.1 "
"157","0.308581000","208.93.137.180","24.6.173.220","TCP","66","80 > 10625 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"158","0.308806000","24.6.173.220","208.93.137.180","TCP","54","10625 > 80 [ACK] Seq=1 Ack=1 Win=65700 Len=0"
"159","0.309161000","24.6.173.220","208.93.137.180","HTTP","344","GET /Scripts/loadAds.js HTTP/1.1 "
"160","0.309558000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"161","0.309560000","208.93.137.180","24.6.173.220","TCP","66","80 > 10626 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"162","0.309793000","24.6.173.220","208.93.137.180","TCP","54","10626 > 80 [ACK] Seq=1 Ack=1 Win=65700 Len=0"
"163","0.310548000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"164","0.310552000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"165","0.310554000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"166","0.311122000","24.6.173.220","208.93.137.180","TCP","54","10616 > 80 [ACK] Seq=330 Ack=16061 Win=65700 Len=0"
"167","0.311871000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"168","0.311874000","75.75.75.75","24.6.173.220","DNS","131","Standard query response 0x0273  CNAME orig-10055.hearst.cotcdn.net A 208.93.137.180"
"169","0.311875000","75.75.75.75","24.6.173.220","DNS","131","Standard query response 0xf961  CNAME orig-10055.hearst.cotcdn.net A 208.93.137.180"
"170","0.311877000","75.75.75.75","24.6.173.220","DNS","131","Standard query response 0x7393  CNAME orig-10055.hearst.cotcdn.net A 208.93.137.180"
"171","0.312880000","24.6.173.220","75.75.75.75","DNS","73","Standard query 0xf57e  AAAA ww3.hdnux.com"
"172","0.312960000","24.6.173.220","75.75.75.75","DNS","73","Standard query 0x01b9  AAAA ww2.hdnux.com"
"173","0.313039000","24.6.173.220","75.75.75.75","DNS","73","Standard query 0xba50  AAAA ww1.hdnux.com"
"174","0.313680000","208.93.137.180","24.6.173.220","TCP","60","80 > 10615 [ACK] Seq=15438 Ack=786 Win=8064 Len=0"
"175","0.314498000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"176","0.315721000","208.93.137.180","24.6.173.220","HTTP","940","HTTP/1.1 200 OK  (application/x-javascript)"
"177","0.315726000","75.75.75.75","24.6.173.220","DNS","218","Standard query response 0xfe93  CNAME prod-tracking-http-89765270.us-east-1.elb.amazonaws.com A 107.22.233.219 A 23.21.54.17 A 23.21.50.193 A 23.21.231.73"
"178","0.315728000","75.75.75.75","24.6.173.220","DNS","133","Standard query response 0x6505  CNAME orig-10056.hearst.cotcdn.net A 208.93.137.190"
"179","0.315730000","75.75.75.75","24.6.173.220","DNS","208","Standard query response 0xcf9a  CNAME www1nc-1174862120.us-east-1.elb.amazonaws.com A 184.73.197.77 A 54.243.165.93 A 184.73.204.71 A 50.17.227.189"
"180","0.316149000","24.6.173.220","208.93.137.180","TCP","54","10615 > 80 [ACK] Seq=786 Ack=17784 Win=65700 Len=0"
"181","0.316488000","24.6.173.220","208.93.137.180","HTTP","393","GET /img/modules/siteheader/wea001/arrow.gif HTTP/1.1 "
"182","0.316803000","24.6.173.220","75.75.75.75","DNS","88","Standard query 0xbdc4  AAAA analytics.apnewsregistry.com"
"183","0.316804000","24.6.173.220","75.75.75.75","DNS","75","Standard query 0x00b7  AAAA imgs.sfgate.com"
"184","0.317004000","24.6.173.220","75.75.75.75","DNS","88","Standard query 0x2b9a  AAAA us2widget.nimblecommerce.com"
"185","0.318640000","208.93.137.180","24.6.173.220","HTTP","630","HTTP/1.1 200 OK  (application/x-javascript)"
"186","0.319041000","24.6.173.220","208.93.137.180","TCP","54","10619 > 80 [ACK] Seq=618 Ack=7558 Win=65700 Len=0"
"187","0.319475000","24.6.173.220","208.93.137.180","HTTP","389","GET /img/modules/siteheader/closeBtn.gif HTTP/1.1 "
"188","0.319793000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"189","0.319797000","208.93.137.180","24.6.173.220","HTTP","903","HTTP/1.1 200 OK  (application/x-javascript)"
"190","0.320661000","24.6.173.220","208.93.137.180","TCP","54","10617 > 80 [ACK] Seq=940 Ack=21119 Win=65700 Len=0"
"191","0.320960000","24.6.173.220","208.93.137.180","HTTP","403","GET /img/partners/target/target_weekly_ad_animated.gif HTTP/1.1 "
"192","0.328494000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"193","0.329492000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"194","0.329495000","208.93.137.180","24.6.173.220","HTTP","975","HTTP/1.1 200 OK  (GIF89a) (GIF89a) (image/gif)"
"195","0.329500000","208.93.137.180","24.6.173.220","TCP","60","80 > 10625 [ACK] Seq=1 Ack=291 Win=6912 Len=0"
"196","0.329515000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"197","0.330020000","24.6.173.220","208.93.137.180","HTTP","376","GET /img/utils/rss_icon.png HTTP/1.1 "
"198","0.330714000","208.93.137.180","24.6.173.220","HTTP","686","HTTP/1.1 200 OK  (PNG)"
"199","0.330716000","208.93.137.180","24.6.173.220","HTTP","823","HTTP/1.1 200 OK  (application/x-javascript)"
"200","0.331061000","24.6.173.220","208.93.137.180","TCP","54","10620 > 80 [ACK] Seq=937 Ack=21712 Win=256960 Len=0"
"201","0.331354000","24.6.173.220","208.93.137.180","HTTP","402","GET /img/modules/slideshow/promo/wide/button-prev.gif HTTP/1.1 "
"202","0.335478000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"203","0.335718000","24.6.173.220","208.93.137.180","TCP","54","10616 > 80 [ACK] Seq=330 Ack=18981 Win=65700 Len=0"
"204","0.336476000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"205","0.336478000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"206","0.336935000","24.6.173.220","208.93.137.180","TCP","54","10616 > 80 [ACK] Seq=330 Ack=21901 Win=65700 Len=0"
"207","0.337687000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"208","0.337689000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"209","0.337692000","75.75.75.75","24.6.173.220","DNS","209","Standard query response 0xbdc4  CNAME prod-tracking-http-89765270.us-east-1.elb.amazonaws.com"
"210","0.337697000","75.75.75.75","24.6.173.220","DNS","174","Standard query response 0xba50  CNAME orig-10055.hearst.cotcdn.net"
"211","0.337698000","75.75.75.75","24.6.173.220","DNS","174","Standard query response 0x01b9  CNAME orig-10055.hearst.cotcdn.net"
"212","0.338260000","24.6.173.220","208.93.137.180","TCP","54","10616 > 80 [ACK] Seq=330 Ack=24821 Win=65700 Len=0"
"213","0.339137000","75.75.75.75","24.6.173.220","DNS","174","Standard query response 0xf57e  CNAME orig-10055.hearst.cotcdn.net"
"214","0.339153000","24.6.173.220","208.93.137.180","TCP","66","10627 > 80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"215","0.339446000","24.6.173.220","208.93.137.180","TCP","66","10628 > 80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"216","0.339678000","24.6.173.220","208.93.137.180","TCP","66","10629 > 80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"217","0.339991000","24.6.173.220","208.93.137.180","TCP","66","10630 > 80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"218","0.340172000","24.6.173.220","208.93.137.180","TCP","66","10631 > 80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"219","0.340414000","24.6.173.220","208.93.137.180","TCP","66","10632 > 80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"220","0.340697000","24.6.173.220","208.93.137.180","TCP","66","10633 > 80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"221","0.340709000","208.93.137.180","24.6.173.220","HTTP","455","HTTP/1.1 200 OK  (GIF89a) (GIF89a) (image/gif)"
"222","0.340901000","24.6.173.220","208.93.137.180","TCP","66","10634 > 80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"223","0.341221000","24.6.173.220","107.22.233.219","TCP","66","10635 > 80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"224","0.341409000","24.6.173.220","208.93.137.180","TCP","66","10636 > 80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
